City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,umm kaddadah,13.6017,26.6876,296.39,22,0,7.03,SD,1731370447
261,balabac,7.9868,117.0645,301.07,77,93,0.91,PH,1731370449
262,harpanahalli,14.8,75.9833,293.21,66,54,2.28,IN,1731370450
263,new norfolk,-42.7826,147.0587,292.43,32,3,1.52,AU,1731370451
264,huatabampo,26.8333,-109.6333,298.16,39,35,5.95,MX,1731370453
265,puerto deseado,-47.7503,-65.8938,288.15,41,100,5.88,AR,1731370455
266,sandwich,41.6459,-88.6217,280.46,67,0,5.14,US,1731370456
267,tolanaro,-25.0319,46.9987,296.54,81,84,1.77,MG,1731370266
268,hami,42.8,93.45,277.83,62,67,0.28,CN,1731370459
269,olinda,-8.0089,-34.8553,300.0,74,40,3.09,BR,1731370460
270,hotan,37.0997,79.9269,281.24,54,100,2.2,CN,1731370461
271,mount isa,-20.7333,139.5,310.02,22,82,4.12,AU,1731370462
272,paradip garh,20.3167,86.6167,296.78,72,76,3.91,IN,1731370463
273,micheweni,-4.9667,39.8333,299.22,84,42,2.52,TZ,1731370464
274,port-cartier,50.0334,-66.8654,273.86,99,100,4.12,CA,1731370275
275,kingaroy,-26.5333,151.8333,296.41,71,100,4.67,AU,1731370467
276,hammerfest,70.6634,23.6821,278.4,93,100,1.54,NO,1731370304
277,la'ie,21.6477,-157.9253,302.13,80,16,4.02,US,1731370469
278,yuzhno-kurilsk,44.0306,145.8556,280.1,68,62,3.89,RU,1731370470
279,paros,37.0833,25.15,289.43,69,10,6.87,GR,1731370471
280,coahuayana de hidalgo,18.7,-103.6583,299.63,81,25,1.41,MX,1731370473
281,kyosai,34.8503,128.5886,287.89,70,0,1.99,KR,1731370474
282,springbok,-29.6643,17.8865,288.04,62,9,1.8,ZA,1731370476
283,mahibadhoo,3.7833,72.9667,300.65,72,32,1.61,MV,1731370478
284,ta`u,-14.2336,-169.5144,300.53,72,36,5.51,AS,1731370479
285,tiksi,71.6872,128.8694,256.07,94,100,1.59,RU,1731370480
286,pangody,65.85,74.4859,252.29,99,99,4.3,RU,1731370481
287,al qusayr,34.5091,36.5798,288.13,80,98,1.18,SY,1731370482
288,baiyin,36.5583,104.2081,279.19,61,100,0.37,CN,1731370484
289,dalandzadgad,43.5708,104.425,275.15,50,34,1.84,MN,1731370485
290,antalaha,-14.9003,50.2788,296.35,91,100,2.22,MG,1731370486
291,belle chasse,29.8549,-89.9906,299.26,80,13,1.34,US,1731370487
292,solnechnyy,50.7214,136.6319,267.66,71,100,1.85,RU,1731370488
293,termas de rio hondo,-27.4998,-64.8604,288.75,86,100,2.83,AR,1731370490
294,jamestown,42.097,-79.2353,283.72,78,100,8.75,US,1731370391
295,antofagasta,-23.65,-70.4,290.75,85,29,2.09,CL,1731370388
296,nuku'alofa,-21.1333,-175.2,296.3,80,98,10.29,TO,1731370493
297,gardnerville ranchos,38.8882,-119.7413,275.68,82,20,4.63,US,1731370494
298,richards bay,-28.783,32.0377,292.64,88,100,2.52,ZA,1731370496
299,hithadhoo,-0.6,73.0833,301.73,71,95,7.81,MV,1731370497
300,hasaki,35.7333,140.8333,292.42,57,15,1.14,JP,1731370498
301,palu,-0.8917,119.8707,298.92,93,100,1.61,ID,1731370499
302,buenaventura,3.8801,-77.0312,298.66,78,100,1.01,CO,1731370500
303,fale old settlement,-9.3852,-171.2468,301.92,65,3,7.04,TK,1731370502
304,pisco,-13.7,-76.2167,292.18,82,0,7.2,PE,1731370490
305,borzya,50.3833,116.5167,261.75,93,16,1.38,RU,1731370504
306,tuy hoa,13.0833,109.3,298.07,83,100,2.01,VN,1731370505
307,jatoba,-9.1831,-38.2689,297.7,76,100,5.94,BR,1731370506
308,pavlodol'skaya,43.7192,44.4781,279.53,88,100,3.35,RU,1731370510
309,el granada,37.5027,-122.4694,288.2,82,20,4.63,US,1731370512
310,aldinga beach,-35.2793,138.4604,295.73,70,4,3.47,AU,1731370514
311,tateyama,34.9833,139.8667,291.78,73,72,1.7,JP,1731370249
312,at taj,24.2049,23.2857,288.61,34,0,3.06,LY,1731370517
313,moyo,3.6609,31.7247,292.01,94,98,0.53,UG,1731370518
314,nar'yan-mar,67.6713,53.087,266.16,99,100,2.36,RU,1731370456
315,paragominas,-2.9667,-47.4833,298.52,75,100,0.84,BR,1731370520
316,chibougamau,49.9168,-74.3659,272.94,93,100,6.17,CA,1731370522
317,alaghsas,17.0187,8.0168,293.88,24,1,4.92,NE,1731370523
318,la passe,45.5549,-0.8967,283.54,84,75,6.29,FR,1731370524
319,turpan,42.9333,89.1667,280.14,63,0,1.1,CN,1731370526
320,i-n-salah,27.1935,2.4607,292.72,42,0,4.38,DZ,1731370463
321,bafq,31.6128,55.4107,288.87,32,10,0.51,IR,1731370528
322,buturlinovka,50.8239,40.6092,276.39,60,100,2.16,RU,1731370530
323,taoudenni,22.6783,-3.9836,297.55,18,25,2.69,ML,1731370531
324,lobujya,27.95,86.8167,261.91,24,0,0.58,NP,1731370532
325,sur,22.5667,59.5289,299.37,49,6,1.33,OM,1731370533
326,tshela,-4.9833,12.9333,296.04,100,46,0.4,CD,1731370534
327,bejaia,36.7559,5.0843,289.54,80,59,4.19,DZ,1731370536
328,new plymouth,-39.0667,174.0833,293.04,100,1,2.84,NZ,1731370537
329,ar rastan,34.9265,36.7324,289.13,76,100,0.43,SY,1731370538
330,broome,42.2506,-75.833,285.18,75,100,4.12,US,1731370539
331,emerald,-23.5333,148.1667,301.67,55,98,3.1,AU,1731370540
332,muroto-misakicho,33.2833,134.15,293.16,72,62,3.65,JP,1731370541
333,salalah,17.0151,54.0924,296.2,60,0,1.03,OM,1731370543
334,zeya,53.75,127.2667,258.8,84,36,0.32,RU,1731370544
335,bria,6.5423,21.9863,294.31,75,25,0.6,CF,1731370545
336,greater sudbury,46.49,-80.99,274.85,85,100,5.81,CA,1731370494
337,basco,20.4487,121.9702,299.74,89,100,9.67,PH,1731370547
338,forster,-32.1667,152.5167,291.69,97,100,2.29,AU,1731370548
339,juneau,58.3019,-134.4197,277.27,97,75,1.54,US,1731370550
340,hoa binh,20.8133,105.3383,294.74,79,31,0.75,VN,1731370551
341,haiku-pauwela,20.9219,-156.3051,300.51,69,40,12.52,US,1731370552
342,ust-nera,64.5667,143.2,243.62,100,28,1.01,RU,1731370553
343,pearsall,28.8922,-99.095,298.62,53,26,3.73,US,1731370554
